Flight,Time (secs),[3d Latitude],[3d Longitude],[3d Altitude M],[3d Altitude Ft],[3d Heading],SPEED (km/h)
Flight 1,30,52.303928,4.765694,-1.2,-4,122.6,88.34
Flight 1,870,52.359375,4.711749,275.7,904.6,2.4,311.14
Flight 1,900,52.380905,4.713937,692.9,2273.4,2.8,317.06
Flight 1,930,52.405354,4.719944,991.1,3251.7,23.8,390.03
Flight 1,960,52.421322,4.758696,1348.0,4422.6,83.3,443.92
Flight 1,990,52.402592,4.808391,1720.6,5645.1,151.1,493.93
Flight 1,1020,52.363464,4.82002,2188.2,7179,180.6,512.45
Flight 1,1050,52.322262,4.826799,2722.5,8932.1,173.3,520.6
Flight 1,1080,52.279598,4.839459,3183.2,10443.6,170.4,544.49
Flight 1,1110,52.233505,4.847054,3451.7,11324.5,183.1,607.46
Flight 1,1140,52.183628,4.845852,3887.9,12755.4,182.8,625.98
Flight 1,1170,52.131691,4.844864,4290.5,14076.4,183.5,647.09
Flight 1,1200,52.07925,4.828899,4742.5,15559.5,203.1,662.83
Flight 1,1230,52.029888,4.794996,5203.9,17073.1,207.7,670.79
Flight 1,1260,51.979675,4.759891,5624.6,18453.5,207,684.13
Flight 1,1290,51.928425,4.724313,6013.6,19729.5,207.7,696.35
Flight 1,1320,51.875984,4.68805,6381.4,20936.3,208.1,712.46
Flight 1,1350,51.82251,4.651227,6745.1,22129.6,208.8,728.76
Flight 1,1380,51.768261,4.613505,7079.3,23226.1,208.4,732.47
Flight 1,1410,51.712986,4.574881,7372.7,24188.8,208.8,746.54
Flight 1,1440,51.656586,4.53557,7666.6,25153,209.1,759.13
Flight 1,1470,51.599152,4.495959,7945.4,26067.7,208.8,768.58
Flight 1,1500,51.540791,4.455704,8205.0,26919.2,208.8,776.17
Flight 1,1530,51.481396,4.414977,8455.8,27742.1,208.4,789.51
Flight 1,1560,51.421215,4.373777,8703.6,28555.3,208.1,800.06
Flight 1,1590,51.360535,4.332579,8953.6,29375.5,208.4,811.73
Flight 1,1620,51.299332,4.290994,9198.9,30180.1,209.1,820.44
Flight 1,1650,51.237789,4.249193,9425.8,30924.6,209.1,826.92
Flight 1,1680,51.176067,4.207437,9682.0,31765.2,210.2,818.03
Flight 1,1710,51.114517,4.165894,9935.0,32595,210.5,816.36
Flight 1,1740,51.052895,4.124137,10127.4,33226.4,210.5,816.55
Flight 1,1770,50.989887,4.081822,10204.1,33478.1,209.8,843.96
Flight 1,1800,50.926281,4.039293,10408.2,34147.5,210.2,849.14
Flight 1,1830,50.862854,3.997021,10644.0,34921.2,210.2,839.14
Flight 1,1860,50.79985,3.955049,10873.4,35674,210.5,839.7
Flight 1,1890,50.73753,3.913421,11080.0,36351.8,209.8,847.1
Flight 1,1920,50.675728,3.872394,11331.9,37178.2,210.5,838.22
Flight 1,1950,50.616844,3.828105,11547.1,37884.2,216.5,835.62
Flight 1,1980,50.56036,3.78034,11745.3,38534.3,216.5,827.66
Flight 1,2010,50.504559,3.733433,11890.2,39009.9,216.1,816.92
Flight 1,2040,50.448517,3.686741,11946.5,39194.6,215.8,819.14
Flight 1,2070,50.391953,3.639791,11941.7,39178.7,216.1,822.84
Flight 1,2100,50.335297,3.593056,11938.9,39169.7,215.8,818.58
Flight 1,2130,50.278465,3.546407,11940.7,39175.7,215.8,824.51
Flight 1,2160,50.22139,3.4995,11939.4,39171.2,216.1,828.21
Flight 1,2190,50.164307,3.452507,11938.1,39167,216.1,828.21
Flight 1,2220,50.107224,3.405772,11932.7,39149.3,216.1,819.7
Flight 1,2250,50.050308,3.359295,11937.3,39164.5,216.1,820.44
Flight 1,2280,49.993229,3.312903,11937.5,39164.9,216.1,826.18
Flight 1,2310,49.935986,3.266382,11935.7,39159.3,215.8,829.51
Flight 1,2340,49.878727,3.219862,11934.9,39156.5,215.4,832.1
Flight 1,2370,49.821297,3.173813,11933.1,39150.7,215.1,832.66
Flight 1,2400,49.76379,3.127679,11932.8,39149.7,215.4,832.47
Flight 1,2430,49.706627,3.081674,11930.4,39141.7,215.4,828.21
Flight 1,2460,49.649456,3.035882,11929.8,39139.6,215.4,822.84
Flight 1,2490,49.592464,2.990306,11931.3,39144.6,215.1,820.99
Flight 1,2520,49.53503,2.946317,11930.2,39140.9,210.2,823.77
Flight 1,2550,49.474522,2.909839,11927.2,39131.2,208.4,819.32
Flight 1,2580,49.414005,2.873962,11927.8,39133.3,208.4,821.36
Flight 1,2610,49.353489,2.838213,11925.8,39126.7,208.4,818.21
Flight 1,2640,49.292973,2.802335,11926.2,39128.1,208.8,821.18
Flight 1,2670,49.232464,2.766458,11924.6,39122.6,208.8,819.88
Flight 1,2700,49.17194,2.730666,11924.3,39121.8,208.8,821.55
Flight 1,2730,49.111431,2.695217,11923.2,39118.1,209.1,821.18
Flight 1,2760,49.051083,2.659726,11921.3,39111.7,209.1,818.58
Flight 1,2790,48.990578,2.62432,11920.9,39110.7,209.1,817.66
Flight 1,2820,48.930225,2.589001,11921.7,39113.2,208.8,821.73
Flight 1,2850,48.870049,2.553938,11920.9,39110.6,208.8,824.51
Flight 1,2880,48.809628,2.518833,11918.2,39101.8,208.8,824.7
Flight 1,2910,48.749531,2.4839,11917.4,39099.2,208.8,823.58
Flight 1,2940,48.689453,2.449138,11918.0,39100.9,208.4,822.47
Flight 1,2970,48.629711,2.414719,11915.2,39092,208.1,816.36
Flight 1,3000,48.569969,2.380301,11914.9,39091,208.1,814.51
Flight 1,3030,48.510403,2.346226,11914.3,39088.9,207.7,815.25
Flight 1,3060,48.451172,2.312279,11913.8,39087.4,207.7,811.73
Flight 1,3090,48.391945,2.278376,11913.3,39085.5,207.4,808.77
Flight 1,3120,48.330826,2.251124,11913.7,39086.9,192.9,809.51
Flight 1,3150,48.265419,2.254943,11909.8,39074,175,812.84
Flight 1,3180,48.199753,2.270349,11911.4,39079.5,175,813.58
Flight 1,3210,48.134266,2.285325,11909.2,39072.3,174.7,809.88
Flight 1,3240,48.068768,2.298242,11908.9,39071.1,177.5,810.62
Flight 1,3270,48.003269,2.308841,11907.6,39066.8,177.8,809.14
Flight 1,3300,47.937611,2.319527,11906.9,39064.7,177.5,808.4
Flight 1,3330,47.872116,2.33077,11906.9,39064.6,177.1,808.4
Flight 1,3360,47.80645,2.342013,11905.0,39058.5,176.8,808.77
Flight 1,3390,47.740788,2.353599,11904.1,39055.6,176.8,803.77
Flight 1,3420,47.675121,2.365014,11903.7,39054.3,176.8,803.03
Flight 1,3450,47.609455,2.3763,11903.2,39052.4,176.8,809.14
Flight 1,3480,47.543621,2.3875,11901.5,39046.8,176.4,805.43
Flight 1,3510,47.477776,2.398786,11901.2,39046,176.8,807.47
Flight 1,3540,47.411518,2.409471,11901.2,39045.8,176.8,806.36
Flight 1,3570,47.345417,2.420714,11900.8,39044.6,176.1,815.99
Flight 1,3600,47.2789,2.432129,11898.9,39038.4,176.1,820.81
Flight 1,3630,47.212383,2.443715,11899.6,39040.8,176.1,824.14
Flight 1,3660,47.146111,2.455216,11897.6,39034.2,176.1,822.84
Flight 1,3690,47.07967,2.466416,11895.0,39025.5,176.1,817.47
Flight 1,3720,47.013241,2.477745,11894.1,39022.5,176.1,814.32
Flight 1,3750,46.946964,2.488859,11895.4,39026.9,176.1,816.92
Flight 1,3780,46.880619,2.499887,11893.9,39021.9,176.1,818.03
Flight 1,3810,46.814434,2.51083,11893.2,39019.6,176.1,820.81
Flight 1,3840,46.74826,2.52173,11890.2,39009.8,176.1,818.95
Flight 1,3870,46.682243,2.532672,11890.6,39011.1,176.1,815.99
Flight 1,3900,46.616333,2.543658,11890.8,39012,175.7,817.84
Flight 1,3930,46.550411,2.554646,11887.6,39001.2,176.1,815.07
Flight 1,3960,46.48476,2.565508,11889.2,39006.4,175.7,812.1
Flight 1,3990,46.419273,2.576243,11891.1,39012.6,175.4,810.44
Flight 1,4020,46.35379,2.586934,11891.3,39013.6,175.7,811.36
Flight 1,4050,46.288479,2.597582,11890.4,39010.5,175.4,807.47
Flight 1,4080,46.223167,2.608445,11893.3,39019.9,175.4,813.03
Flight 1,4110,46.158024,2.619051,11891.2,39013,175.4,812.1
Flight 1,4140,46.092716,2.629699,11890.0,39009.1,175.4,805.62
Flight 1,4170,46.027573,2.640133,11892.8,39018.3,175,806.36
Flight 1,4200,45.962265,2.650653,11893.4,39020.3,175,813.03
Flight 1,4230,45.896622,2.661473,11892.5,39017.4,175,814.14
Flight 1,4260,45.830959,2.67195,11895.2,39026.3,175,816.73
Flight 1,4290,45.765301,2.682426,11894.5,39023.8,175,817.66
Flight 1,4320,45.699654,2.692903,11891.7,39014.8,175,815.62
Flight 1,4350,45.633995,2.703552,11896.0,39028.9,174.7,817.66
Flight 1,4380,45.56834,2.7142,11897.4,39033.4,175,816.55
Flight 1,4410,45.50235,2.724677,11894.2,39023,175,809.88
Flight 1,4440,45.436512,2.734982,11892.4,39017,175,811.18
Flight 1,4470,45.370682,2.745287,11899.9,39041.8,175.4,820.99
Flight 1,4500,45.304688,2.755592,11900.8,39044.8,175,834.88
Flight 1,4530,45.238873,2.766069,11895.0,39025.7,175,825.44
Flight 1,4560,45.17347,2.776374,11896.7,39031.1,175,823.95
Flight 1,4590,45.107903,2.786336,11897.1,39032.5,174.7,819.32
Flight 1,4620,45.042419,2.796984,11897.3,39033,175,818.58
Flight 1,4650,44.977257,2.807117,11897.7,39034.4,175,827.1
Flight 1,4680,44.911968,2.817423,11898.3,39036.4,175,821.18
Flight 1,4710,44.846817,2.827599,11895.4,39026.9,174.7,812.84
Flight 1,4740,44.781685,2.83696,11902.1,39048.8,178.5,811.36
Flight 1,4770,44.716541,2.83851,11894.5,39023.9,181,806.36
Flight 1,4800,44.65115,2.83946,11900.2,39042.7,181,808.4
Flight 1,4830,44.585926,2.84041,11902.4,39049.9,181.3,813.4
Flight 1,4860,44.520443,2.84123,11902.3,39049.5,181.3,822.29
Flight 1,4890,44.454952,2.842137,11903.5,39053.5,181,820.25
Flight 1,4920,44.389305,2.843087,11900.5,39043.7,180.6,819.88
Flight 1,4950,44.32365,2.844037,11903.5,39053.6,180.6,816.18
Flight 1,4980,44.257999,2.84533,11898.5,39037.1,181,816.36
Flight 1,5010,44.192513,2.84615,11902.6,39050.5,181.3,818.95
Flight 1,5040,44.126686,2.847229,11900.9,39045.1,181,821.36
Flight 1,5070,44.061211,2.848178,11903.4,39053,181,828.03
Flight 1,5100,43.995548,2.849128,11901.7,39047.5,181,826.73
Flight 1,5130,43.929901,2.850078,11899.3,39039.7,181,821.36
Flight 1,5160,43.864407,2.851199,11904.4,39056.4,180.6,825.99
Flight 1,5190,43.798767,2.852191,11903.7,39054.2,181,825.99
Flight 1,5220,43.733444,2.85327,11904.8,39057.7,181,821.36
Flight 1,5250,43.668316,2.854091,11901.5,39046.9,181,825.07
Flight 1,5280,43.60368,2.854997,11725.9,38470.8,181,814.51
Flight 1,5310,43.539906,2.855775,11381.5,37341,180.6,826.92
Flight 1,5340,43.476494,2.856553,11069.7,36317.9,179.9,797.66
Flight 1,5370,43.414089,2.857503,10794.7,35415.7,180.6,798.58
Flight 1,5400,43.352734,2.858452,10498.8,34445,180.3,775.25
Flight 1,5430,43.291725,2.859231,10197.5,33456.2,179.9,763.76
Flight 1,5460,43.23233,2.86018,9930.0,32578.7,179.9,744.13
Flight 1,5490,43.173454,2.860958,9646.8,31649.4,179.2,733.02
Flight 1,5520,43.115524,2.861736,9390.5,30808.9,178.9,726.17
Flight 1,5550,43.057259,2.8629,9107.0,29878.7,179.6,729.69
Flight 1,5580,42.998375,2.863807,8827.5,28961.7,179.6,736.73
Flight 1,5610,42.940182,2.864585,8554.1,28064.5,179.6,718.76
Flight 1,5640,42.882515,2.865191,8283.0,27175.3,179.6,703.76
Flight 1,5670,42.825882,2.866141,8013.8,26292,179.6,695.8
Flight 1,5700,42.770176,2.866919,7754.7,25441.8,179.9,682.28
Flight 1,5730,42.715843,2.862976,7496.6,24595,184.5,677.65
Flight 1,5760,42.661957,2.856587,7236.4,23741.5,184.1,664.13
Flight 1,5790,42.609081,2.850628,6989.7,22932.2,184.5,653.39
Flight 1,5820,42.55674,2.844539,6733.6,22091.9,184.5,642.09
Flight 1,5850,42.505253,2.838579,6489.7,21291.8,184.5,632.09
